year_month,direction_code,NZ_area,Count,geo_level,period
2015-02,A,Area Outside Region,3,Regional council areas,Monthly
2015-03,A,Area Outside Region,6,Regional council areas,Monthly
2015-04,A,Area Outside Region,3,Regional council areas,Monthly
2015-05,A,Area Outside Region,9,Regional council areas,Monthly
2015-06,A,Area Outside Region,3,Regional council areas,Monthly
2015-07,A,Area Outside Region,3,Regional council areas,Monthly
2015-09,A,Area Outside Region,9,Regional council areas,Monthly
2015-10,A,Area Outside Region,6,Regional council areas,Monthly
2015-11,A,Area Outside Region,3,Regional council areas,Monthly
2016-01,A,Area Outside Region,3,Regional council areas,Monthly
2016-02,A,Area Outside Region,3,Regional council areas,Monthly
2016-03,A,Area Outside Region,9,Regional council areas,Monthly
2016-04,A,Area Outside Region,9,Regional council areas,Monthly
2016-05,A,Area Outside Region,3,Regional council areas,Monthly
2016-06,A,Area Outside Region,9,Regional council areas,Monthly
2016-07,A,Area Outside Region,3,Regional council areas,Monthly
2016-08,A,Area Outside Region,6,Regional council areas,Monthly
2016-09,A,Area Outside Region,30,Regional council areas,Monthly
2016-10,A,Area Outside Region,6,Regional council areas,Monthly
2016-11,A,Area Outside Region,3,Regional council areas,Monthly
2017-03,A,Area Outside Region,3,Regional council areas,Monthly
2017-04,A,Area Outside Region,3,Regional council areas,Monthly
2017-05,A,Area Outside Region,3,Regional council areas,Monthly
2017-06,A,Area Outside Region,3,Regional council areas,Monthly
2017-07,A,Area Outside Region,18,Regional council areas,Monthly
2017-08,A,Area Outside Region,6,Regional council areas,Monthly
2017-09,A,Area Outside Region,3,Regional council areas,Monthly
2017-10,A,Area Outside Region,6,Regional council areas,Monthly
2017-11,A,Area Outside Region,12,Regional council areas,Monthly
2017-12,A,Area Outside Region,6,Regional council areas,Monthly
2018-01,A,Area Outside Region,6,Regional council areas,Monthly
2018-03,A,Area Outside Region,3,Regional council areas,Monthly
2018-04,A,Area Outside Region,12,Regional council areas,Monthly
2018-05,A,Area Outside Region,6,Regional council areas,Monthly
2018-07,A,Area Outside Region,6,Regional council areas,Monthly
2018-08,A,Area Outside Region,9,Regional council areas,Monthly
2018-09,A,Area Outside Region,6,Regional council areas,Monthly
2018-10,A,Area Outside Region,9,Regional council areas,Monthly
2018-11,A,Area Outside Region,9,Regional council areas,Monthly
2018-12,A,Area Outside Region,12,Regional council areas,Monthly
2019-01,A,Area Outside Region,3,Regional council areas,Monthly
2019-02,A,Area Outside Region,3,Regional council areas,Monthly
2019-03,A,Area Outside Region,3,Regional council areas,Monthly
2019-04,A,Area Outside Region,3,Regional council areas,Monthly
2019-05,A,Area Outside Region,9,Regional council areas,Monthly
2015-01,A,Bay of Plenty Region,9555,Regional council areas,Monthly
2015-02,A,Bay of Plenty Region,5913,Regional council areas,Monthly
2015-03,A,Bay of Plenty Region,8175,Regional council areas,Monthly
2015-04,A,Bay of Plenty Region,9780,Regional council areas,Monthly
2015-05,A,Bay of Plenty Region,9723,Regional council areas,Monthly
2015-06,A,Bay of Plenty Region,10152,Regional council areas,Monthly
2015-07,A,Bay of Plenty Region,13323,Regional council areas,Monthly
2015-08,A,Bay of Plenty Region,12357,Regional council areas,Monthly
2015-09,A,Bay of Plenty Region,11907,Regional council areas,Monthly
2015-10,A,Bay of Plenty Region,14751,Regional council areas,Monthly
2015-11,A,Bay of Plenty Region,9675,Regional council areas,Monthly
2015-12,A,Bay of Plenty Region,7164,Regional council areas,Monthly
2016-01,A,Bay of Plenty Region,9912,Regional council areas,Monthly
2016-02,A,Bay of Plenty Region,6432,Regional council areas,Monthly
2016-03,A,Bay of Plenty Region,7923,Regional council areas,Monthly
2016-04,A,Bay of Plenty Region,9966,Regional council areas,Monthly
2016-05,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-06,A,Bay of Plenty Region,11169,Regional council areas,Monthly
2016-07,A,Bay of Plenty Region,14655,Regional council areas,Monthly
2016-08,A,Bay of Plenty Region,13131,Regional council areas,Monthly
2016-09,A,Bay of Plenty Region,13119,Regional council areas,Monthly
2016-10,A,Bay of Plenty Region,15642,Regional council areas,Monthly
2016-11,A,Bay of Plenty Region,10845,Regional council areas,Monthly
2016-12,A,Bay of Plenty Region,7764,Regional council areas,Monthly
2017-01,A,Bay of Plenty Region,11691,Regional council areas,Monthly
2017-02,A,Bay of Plenty Region,7398,Regional council areas,Monthly
2017-03,A,Bay of Plenty Region,9072,Regional council areas,Monthly
2017-04,A,Bay of Plenty Region,11013,Regional council areas,Monthly
2017-05,A,Bay of Plenty Region,11403,Regional council areas,Monthly
2017-06,A,Bay of Plenty Region,11628,Regional council areas,Monthly
2017-07,A,Bay of Plenty Region,15603,Regional council areas,Monthly
2017-08,A,Bay of Plenty Region,13974,Regional council areas,Monthly
2017-09,A,Bay of Plenty Region,14466,Regional council areas,Monthly
2017-10,A,Bay of Plenty Region,17622,Regional council areas,Monthly
2017-11,A,Bay of Plenty Region,11253,Regional council areas,Monthly
2017-12,A,Bay of Plenty Region,8112,Regional council areas,Monthly
2018-01,A,Bay of Plenty Region,12027,Regional council areas,Monthly
2018-02,A,Bay of Plenty Region,7446,Regional council areas,Monthly
2018-03,A,Bay of Plenty Region,9351,Regional council areas,Monthly
2018-04,A,Bay of Plenty Region,11757,Regional council areas,Monthly
2018-05,A,Bay of Plenty Region,11577,Regional council areas,Monthly
2018-06,A,Bay of Plenty Region,12738,Regional council areas,Monthly
2018-07,A,Bay of Plenty Region,17142,Regional council areas,Monthly
2018-08,A,Bay of Plenty Region,15303,Regional council areas,Monthly
2018-09,A,Bay of Plenty Region,15477,Regional council areas,Monthly
2018-10,A,Bay of Plenty Region,17763,Regional council areas,Monthly
2018-11,A,Bay of Plenty Region,11604,Regional council areas,Monthly
2018-12,A,Bay of Plenty Region,8694,Regional council areas,Monthly
2019-01,A,Bay of Plenty Region,12591,Regional council areas,Monthly
2019-02,A,Bay of Plenty Region,8076,Regional council areas,Monthly
2019-03,A,Bay of Plenty Region,10074,Regional council areas,Monthly
2019-04,A,Bay of Plenty Region,12423,Regional council areas,Monthly
2019-05,A,Bay of Plenty Region,12006,Regional council areas,Monthly
2019-06,A,Bay of Plenty Region,13209,Regional council areas,Monthly
2015-01,A,Canterbury Region,28326,Regional council areas,Monthly
2015-02,A,Canterbury Region,15081,Regional council areas,Monthly
2015-03,A,Canterbury Region,18975,Regional council areas,Monthly
2015-04,A,Canterbury Region,23547,Regional council areas,Monthly
2015-05,A,Canterbury Region,22725,Regional council areas,Monthly
2015-06,A,Canterbury Region,24561,Regional council areas,Monthly
2015-07,A,Canterbury Region,32562,Regional council areas,Monthly
2015-08,A,Canterbury Region,29526,Regional council areas,Monthly
2015-09,A,Canterbury Region,26946,Regional council areas,Monthly
2015-10,A,Canterbury Region,31161,Regional council areas,Monthly
2015-11,A,Canterbury Region,22413,Regional council areas,Monthly
2015-12,A,Canterbury Region,15255,Regional council areas,Monthly
2016-01,A,Canterbury Region,29547,Regional council areas,Monthly
2016-02,A,Canterbury Region,16503,Regional council areas,Monthly
2016-03,A,Canterbury Region,18657,Regional council areas,Monthly
2016-04,A,Canterbury Region,22455,Regional council areas,Monthly
2016-05,A,Canterbury Region,24792,Regional council areas,Monthly
2016-06,A,Canterbury Region,25959,Regional council areas,Monthly
2016-07,A,Canterbury Region,34029,Regional council areas,Monthly
2016-08,A,Canterbury Region,30858,Regional council areas,Monthly
2016-09,A,Canterbury Region,28449,Regional council areas,Monthly
2016-10,A,Canterbury Region,33684,Regional council areas,Monthly
2016-11,A,Canterbury Region,22509,Regional council areas,Monthly
2016-12,A,Canterbury Region,16302,Regional council areas,Monthly
2017-01,A,Canterbury Region,31023,Regional council areas,Monthly
2017-02,A,Canterbury Region,19533,Regional council areas,Monthly
2017-03,A,Canterbury Region,21291,Regional council areas,Monthly
2017-04,A,Canterbury Region,25671,Regional council areas,Monthly
2017-05,A,Canterbury Region,26148,Regional council areas,Monthly
2017-06,A,Canterbury Region,27351,Regional council areas,Monthly
2017-07,A,Canterbury Region,36903,Regional council areas,Monthly
2017-08,A,Canterbury Region,31533,Regional council areas,Monthly
2017-09,A,Canterbury Region,30093,Regional council areas,Monthly
2017-10,A,Canterbury Region,36816,Regional council areas,Monthly
2017-11,A,Canterbury Region,23502,Regional council areas,Monthly
2017-12,A,Canterbury Region,17523,Regional council areas,Monthly
2018-01,A,Canterbury Region,34080,Regional council areas,Monthly
2018-02,A,Canterbury Region,18942,Regional council areas,Monthly
2018-03,A,Canterbury Region,21171,Regional council areas,Monthly
2018-04,A,Canterbury Region,26040,Regional council areas,Monthly
2018-05,A,Canterbury Region,27357,Regional council areas,Monthly
2018-06,A,Canterbury Region,29889,Regional council areas,Monthly
2018-07,A,Canterbury Region,40299,Regional council areas,Monthly
2018-08,A,Canterbury Region,35088,Regional council areas,Monthly
2018-09,A,Canterbury Region,31896,Regional council areas,Monthly
2018-10,A,Canterbury Region,36672,Regional council areas,Monthly
2018-11,A,Canterbury Region,24591,Regional council areas,Monthly
2018-12,A,Canterbury Region,17805,Regional council areas,Monthly
2019-01,A,Canterbury Region,33270,Regional council areas,Monthly
2019-02,A,Canterbury Region,20376,Regional council areas,Monthly
2019-03,A,Canterbury Region,22800,Regional council areas,Monthly
2019-04,A,Canterbury Region,28011,Regional council areas,Monthly
2019-05,A,Canterbury Region,27252,Regional council areas,Monthly
2019-06,A,Canterbury Region,30324,Regional council areas,Monthly
2015-01,A,Gisborne Region,822,Regional council areas,Monthly
2015-02,A,Gisborne Region,528,Regional council areas,Monthly
2015-03,A,Gisborne Region,696,Regional council areas,Monthly
2015-04,A,Gisborne Region,951,Regional council areas,Monthly
2015-05,A,Gisborne Region,942,Regional council areas,Monthly
2015-06,A,Gisborne Region,876,Regional council areas,Monthly
2015-07,A,Gisborne Region,1362,Regional council areas,Monthly
2015-08,A,Gisborne Region,1170,Regional council areas,Monthly
2015-09,A,Gisborne Region,1212,Regional council areas,Monthly
2015-10,A,Gisborne Region,1296,Regional council areas,Monthly
2015-11,A,Gisborne Region,996,Regional council areas,Monthly
2015-12,A,Gisborne Region,723,Regional council areas,Monthly
2016-01,A,Gisborne Region,972,Regional council areas,Monthly
2016-02,A,Gisborne Region,522,Regional council areas,Monthly
2016-03,A,Gisborne Region,687,Regional council areas,Monthly
2016-04,A,Gisborne Region,933,Regional council areas,Monthly
2016-05,A,Gisborne Region,1170,Regional council areas,Monthly
2016-06,A,Gisborne Region,1098,Regional council areas,Monthly
2016-07,A,Gisborne Region,1506,Regional council areas,Monthly
2016-08,A,Gisborne Region,1356,Regional council areas,Monthly
2016-09,A,Gisborne Region,1308,Regional council areas,Monthly
2016-10,A,Gisborne Region,1596,Regional council areas,Monthly
2016-11,A,Gisborne Region,981,Regional council areas,Monthly
2016-12,A,Gisborne Region,711,Regional council areas,Monthly
2017-01,A,Gisborne Region,1032,Regional council areas,Monthly
2017-02,A,Gisborne Region,591,Regional council areas,Monthly
2017-03,A,Gisborne Region,807,Regional council areas,Monthly
2017-04,A,Gisborne Region,1059,Regional council areas,Monthly
2017-05,A,Gisborne Region,1017,Regional council areas,Monthly
2017-06,A,Gisborne Region,1050,Regional council areas,Monthly
2017-07,A,Gisborne Region,1500,Regional council areas,Monthly
2017-08,A,Gisborne Region,1416,Regional council areas,Monthly
2017-09,A,Gisborne Region,1386,Regional council areas,Monthly
2017-10,A,Gisborne Region,1698,Regional council areas,Monthly
2017-11,A,Gisborne Region,948,Regional council areas,Monthly
2017-12,A,Gisborne Region,762,Regional council areas,Monthly
2018-01,A,Gisborne Region,1053,Regional council areas,Monthly
2018-02,A,Gisborne Region,603,Regional council areas,Monthly
2018-03,A,Gisborne Region,825,Regional council areas,Monthly
2018-04,A,Gisborne Region,1101,Regional council areas,Monthly
2018-05,A,Gisborne Region,1125,Regional council areas,Monthly
2018-06,A,Gisborne Region,1128,Regional council areas,Monthly
2018-07,A,Gisborne Region,1941,Regional council areas,Monthly
2018-08,A,Gisborne Region,1686,Regional council areas,Monthly
2018-09,A,Gisborne Region,1584,Regional council areas,Monthly
2018-10,A,Gisborne Region,1821,Regional council areas,Monthly
2018-11,A,Gisborne Region,1200,Regional council areas,Monthly
2018-12,A,Gisborne Region,792,Regional council areas,Monthly
2019-01,A,Gisborne Region,963,Regional council areas,Monthly
2019-02,A,Gisborne Region,648,Regional council areas,Monthly
2019-03,A,Gisborne Region,918,Regional council areas,Monthly
2019-04,A,Gisborne Region,1269,Regional council areas,Monthly
2019-05,A,Gisborne Region,1140,Regional council areas,Monthly
2019-06,A,Gisborne Region,1209,Regional council areas,Monthly
2015-01,A,Hawke's Bay Region,4179,Regional council areas,Monthly
2015-02,A,Hawke's Bay Region,2466,Regional council areas,Monthly
2015-03,A,Hawke's Bay Region,3012,Regional council areas,Monthly
2015-04,A,Hawke's Bay Region,4023,Regional council areas,Monthly
2015-05,A,Hawke's Bay Region,4188,Regional council areas,Monthly
2015-06,A,Hawke's Bay Region,4254,Regional council areas,Monthly
2015-07,A,Hawke's Bay Region,5895,Regional council areas,Monthly
2015-08,A,Hawke's Bay Region,5304,Regional council areas,Monthly
2015-09,A,Hawke's Bay Region,5163,Regional council areas,Monthly
2015-10,A,Hawke's Bay Region,6363,Regional council areas,Monthly
2015-11,A,Hawke's Bay Region,4011,Regional council areas,Monthly
2015-12,A,Hawke's Bay Region,2733,Regional council areas,Monthly
2016-01,A,Hawke's Bay Region,4608,Regional council areas,Monthly
2016-02,A,Hawke's Bay Region,2478,Regional council areas,Monthly
2016-03,A,Hawke's Bay Region,3246,Regional council areas,Monthly
2016-04,A,Hawke's Bay Region,4077,Regional council areas,Monthly
2016-05,A,Hawke's Bay Region,4365,Regional council areas,Monthly
2016-06,A,Hawke's Bay Region,4491,Regional council areas,Monthly
2016-07,A,Hawke's Bay Region,6324,Regional council areas,Monthly
2016-08,A,Hawke's Bay Region,5826,Regional council areas,Monthly
2016-09,A,Hawke's Bay Region,5460,Regional council areas,Monthly
2016-10,A,Hawke's Bay Region,6975,Regional council areas,Monthly
2016-11,A,Hawke's Bay Region,4425,Regional council areas,Monthly
2016-12,A,Hawke's Bay Region,2997,Regional council areas,Monthly
2017-01,A,Hawke's Bay Region,5208,Regional council areas,Monthly
2017-02,A,Hawke's Bay Region,2940,Regional council areas,Monthly
2017-03,A,Hawke's Bay Region,3438,Regional council areas,Monthly
2017-04,A,Hawke's Bay Region,4335,Regional council areas,Monthly
2017-05,A,Hawke's Bay Region,4704,Regional council areas,Monthly
2017-06,A,Hawke's Bay Region,4737,Regional council areas,Monthly
2017-07,A,Hawke's Bay Region,7134,Regional council areas,Monthly
2017-08,A,Hawke's Bay Region,6123,Regional council areas,Monthly
2017-09,A,Hawke's Bay Region,5937,Regional council areas,Monthly
2017-10,A,Hawke's Bay Region,7704,Regional council areas,Monthly
2017-11,A,Hawke's Bay Region,4503,Regional council areas,Monthly
2017-12,A,Hawke's Bay Region,3192,Regional council areas,Monthly
2018-01,A,Hawke's Bay Region,5580,Regional council areas,Monthly
2018-02,A,Hawke's Bay Region,2952,Regional council areas,Monthly
2018-03,A,Hawke's Bay Region,3513,Regional council areas,Monthly
2018-04,A,Hawke's Bay Region,4845,Regional council areas,Monthly
2018-05,A,Hawke's Bay Region,5052,Regional council areas,Monthly
2018-06,A,Hawke's Bay Region,5415,Regional council areas,Monthly
2018-07,A,Hawke's Bay Region,7626,Regional council areas,Monthly
2018-08,A,Hawke's Bay Region,6960,Regional council areas,Monthly
2018-09,A,Hawke's Bay Region,6219,Regional council areas,Monthly
2018-10,A,Hawke's Bay Region,7704,Regional council areas,Monthly
2018-11,A,Hawke's Bay Region,4662,Regional council areas,Monthly
2018-12,A,Hawke's Bay Region,3444,Regional council areas,Monthly
2019-01,A,Hawke's Bay Region,5514,Regional council areas,Monthly
2019-02,A,Hawke's Bay Region,3039,Regional council areas,Monthly
2019-03,A,Hawke's Bay Region,4242,Regional council areas,Monthly
2019-04,A,Hawke's Bay Region,5271,Regional council areas,Monthly
2019-05,A,Hawke's Bay Region,5277,Regional council areas,Monthly
2019-06,A,Hawke's Bay Region,5490,Regional council areas,Monthly
2015-01,A,Manawatu-Wanganui Region,6699,Regional council areas,Monthly
2015-02,A,Manawatu-Wanganui Region,3654,Regional council areas,Monthly
2015-03,A,Manawatu-Wanganui Region,4536,Regional council areas,Monthly
2015-04,A,Manawatu-Wanganui Region,5919,Regional council areas,Monthly
2015-05,A,Manawatu-Wanganui Region,5700,Regional council areas,Monthly
2015-06,A,Manawatu-Wanganui Region,6030,Regional council areas,Monthly
2015-07,A,Manawatu-Wanganui Region,7710,Regional council areas,Monthly
2015-08,A,Manawatu-Wanganui Region,6675,Regional council areas,Monthly
2015-09,A,Manawatu-Wanganui Region,6360,Regional council areas,Monthly
2015-10,A,Manawatu-Wanganui Region,7992,Regional council areas,Monthly
2015-11,A,Manawatu-Wanganui Region,5499,Regional council areas,Monthly
2015-12,A,Manawatu-Wanganui Region,3894,Regional council areas,Monthly
2016-01,A,Manawatu-Wanganui Region,7257,Regional council areas,Monthly
2016-02,A,Manawatu-Wanganui Region,4086,Regional council areas,Monthly
2016-03,A,Manawatu-Wanganui Region,4554,Regional council areas,Monthly
2016-04,A,Manawatu-Wanganui Region,5772,Regional council areas,Monthly
2016-05,A,Manawatu-Wanganui Region,5910,Regional council areas,Monthly
2016-06,A,Manawatu-Wanganui Region,6246,Regional council areas,Monthly
2016-07,A,Manawatu-Wanganui Region,7806,Regional council areas,Monthly
2016-08,A,Manawatu-Wanganui Region,6786,Regional council areas,Monthly
2016-09,A,Manawatu-Wanganui Region,6681,Regional council areas,Monthly
2016-10,A,Manawatu-Wanganui Region,8592,Regional council areas,Monthly
2016-11,A,Manawatu-Wanganui Region,6192,Regional council areas,Monthly
2016-12,A,Manawatu-Wanganui Region,4290,Regional council areas,Monthly
2017-01,A,Manawatu-Wanganui Region,7401,Regional council areas,Monthly
2017-02,A,Manawatu-Wanganui Region,4764,Regional council areas,Monthly
2017-03,A,Manawatu-Wanganui Region,4830,Regional council areas,Monthly
2017-04,A,Manawatu-Wanganui Region,6201,Regional council areas,Monthly
2017-05,A,Manawatu-Wanganui Region,6405,Regional council areas,Monthly
2017-06,A,Manawatu-Wanganui Region,6639,Regional council areas,Monthly
2017-07,A,Manawatu-Wanganui Region,8727,Regional council areas,Monthly
2017-08,A,Manawatu-Wanganui Region,7272,Regional council areas,Monthly
2017-09,A,Manawatu-Wanganui Region,7518,Regional council areas,Monthly
2017-10,A,Manawatu-Wanganui Region,9126,Regional council areas,Monthly
2017-11,A,Manawatu-Wanganui Region,6483,Regional council areas,Monthly
2017-12,A,Manawatu-Wanganui Region,4506,Regional council areas,Monthly
2018-01,A,Manawatu-Wanganui Region,8415,Regional council areas,Monthly
2018-02,A,Manawatu-Wanganui Region,4482,Regional council areas,Monthly
2018-03,A,Manawatu-Wanganui Region,4797,Regional council areas,Monthly
2018-04,A,Manawatu-Wanganui Region,6486,Regional council areas,Monthly
2018-05,A,Manawatu-Wanganui Region,6711,Regional council areas,Monthly
2018-06,A,Manawatu-Wanganui Region,7053,Regional council areas,Monthly
2018-07,A,Manawatu-Wanganui Region,9651,Regional council areas,Monthly
2018-08,A,Manawatu-Wanganui Region,8229,Regional council areas,Monthly
2018-09,A,Manawatu-Wanganui Region,7983,Regional council areas,Monthly
2018-10,A,Manawatu-Wanganui Region,9390,Regional council areas,Monthly
2018-11,A,Manawatu-Wanganui Region,6399,Regional council areas,Monthly
2018-12,A,Manawatu-Wanganui Region,4524,Regional council areas,Monthly
2019-01,A,Manawatu-Wanganui Region,8415,Regional council areas,Monthly
2019-02,A,Manawatu-Wanganui Region,4974,Regional council areas,Monthly
2019-03,A,Manawatu-Wanganui Region,5526,Regional council areas,Monthly
2019-04,A,Manawatu-Wanganui Region,7212,Regional council areas,Monthly
2019-05,A,Manawatu-Wanganui Region,7374,Regional council areas,Monthly
2019-06,A,Manawatu-Wanganui Region,7389,Regional council areas,Monthly
2015-01,A,Marlborough Region,1197,Regional council areas,Monthly
2015-02,A,Marlborough Region,789,Regional council areas,Monthly
2015-03,A,Marlborough Region,1047,Regional council areas,Monthly
2015-04,A,Marlborough Region,1002,Regional council areas,Monthly
2015-05,A,Marlborough Region,1488,Regional council areas,Monthly
2015-06,A,Marlborough Region,1617,Regional council areas,Monthly
2015-07,A,Marlborough Region,1926,Regional council areas,Monthly
2015-08,A,Marlborough Region,2049,Regional council areas,Monthly
2015-09,A,Marlborough Region,1902,Regional council areas,Monthly
2015-10,A,Marlborough Region,2010,Regional council areas,Monthly
2015-11,A,Marlborough Region,1362,Regional council areas,Monthly
2015-12,A,Marlborough Region,807,Regional council areas,Monthly
2016-01,A,Marlborough Region,1254,Regional council areas,Monthly
2016-02,A,Marlborough Region,792,Regional council areas,Monthly
2016-03,A,Marlborough Region,912,Regional council areas,Monthly
2016-04,A,Marlborough Region,1131,Regional council areas,Monthly
2016-05,A,Marlborough Region,1521,Regional council areas,Monthly
2016-06,A,Marlborough Region,1740,Regional council areas,Monthly
2016-07,A,Marlborough Region,2118,Regional council areas,Monthly
2016-08,A,Marlborough Region,2118,Regional council areas,Monthly
2016-09,A,Marlborough Region,1938,Regional council areas,Monthly
2016-10,A,Marlborough Region,1995,Regional council areas,Monthly
2016-11,A,Marlborough Region,1263,Regional council areas,Monthly
2016-12,A,Marlborough Region,918,Regional council areas,Monthly
2017-01,A,Marlborough Region,1392,Regional council areas,Monthly
2017-02,A,Marlborough Region,819,Regional council areas,Monthly
2017-03,A,Marlborough Region,1092,Regional council areas,Monthly
2017-04,A,Marlborough Region,1224,Regional council areas,Monthly
2017-05,A,Marlborough Region,1548,Regional council areas,Monthly
2017-06,A,Marlborough Region,1797,Regional council areas,Monthly
2017-07,A,Marlborough Region,2316,Regional council areas,Monthly
2017-08,A,Marlborough Region,2295,Regional council areas,Monthly
2017-09,A,Marlborough Region,2088,Regional council areas,Monthly
2017-10,A,Marlborough Region,2232,Regional council areas,Monthly
2017-11,A,Marlborough Region,1488,Regional council areas,Monthly
2017-12,A,Marlborough Region,912,Regional council areas,Monthly
2018-01,A,Marlborough Region,1440,Regional council areas,Monthly
2018-02,A,Marlborough Region,888,Regional council areas,Monthly
2018-03,A,Marlborough Region,990,Regional council areas,Monthly
2018-04,A,Marlborough Region,1305,Regional council areas,Monthly
2018-05,A,Marlborough Region,1650,Regional council areas,Monthly
2018-06,A,Marlborough Region,1803,Regional council areas,Monthly
2018-07,A,Marlborough Region,2544,Regional council areas,Monthly
2018-08,A,Marlborough Region,2466,Regional council areas,Monthly
2018-09,A,Marlborough Region,2250,Regional council areas,Monthly
2018-10,A,Marlborough Region,2379,Regional council areas,Monthly
2018-11,A,Marlborough Region,1446,Regional council areas,Monthly
2018-12,A,Marlborough Region,918,Regional council areas,Monthly
2019-01,A,Marlborough Region,1491,Regional council areas,Monthly
2019-02,A,Marlborough Region,918,Regional council areas,Monthly
2019-03,A,Marlborough Region,1209,Regional council areas,Monthly
2019-04,A,Marlborough Region,1329,Regional council areas,Monthly
2019-05,A,Marlborough Region,1827,Regional council areas,Monthly
2019-06,A,Marlborough Region,1953,Regional council areas,Monthly
2015-01,A,Nelson Region,1563,Regional council areas,Monthly
2015-02,A,Nelson Region,993,Regional council areas,Monthly
2015-03,A,Nelson Region,1161,Regional council areas,Monthly
2015-04,A,Nelson Region,1533,Regional council areas,Monthly
2015-05,A,Nelson Region,1539,Regional council areas,Monthly
2015-06,A,Nelson Region,1797,Regional council areas,Monthly
2015-07,A,Nelson Region,2337,Regional council areas,Monthly
2015-08,A,Nelson Region,2340,Regional council areas,Monthly
2015-09,A,Nelson Region,2172,Regional council areas,Monthly
2015-10,A,Nelson Region,2415,Regional council areas,Monthly
2015-11,A,Nelson Region,1485,Regional council areas,Monthly
2015-12,A,Nelson Region,1080,Regional council areas,Monthly
2016-01,A,Nelson Region,1653,Regional council areas,Monthly
2016-02,A,Nelson Region,1095,Regional council areas,Monthly
2016-03,A,Nelson Region,1236,Regional council areas,Monthly
2016-04,A,Nelson Region,1503,Regional council areas,Monthly
2016-05,A,Nelson Region,1716,Regional council areas,Monthly
2016-06,A,Nelson Region,1845,Regional council areas,Monthly
2016-07,A,Nelson Region,2415,Regional council areas,Monthly
2016-08,A,Nelson Region,2505,Regional council areas,Monthly
2016-09,A,Nelson Region,2259,Regional council areas,Monthly
2016-10,A,Nelson Region,2559,Regional council areas,Monthly
2016-11,A,Nelson Region,1620,Regional council areas,Monthly
2016-12,A,Nelson Region,1143,Regional council areas,Monthly
2017-01,A,Nelson Region,1851,Regional council areas,Monthly
2017-02,A,Nelson Region,1107,Regional council areas,Monthly
2017-03,A,Nelson Region,1266,Regional council areas,Monthly
2017-04,A,Nelson Region,1707,Regional council areas,Monthly
2017-05,A,Nelson Region,1938,Regional council areas,Monthly
2017-06,A,Nelson Region,1908,Regional council areas,Monthly
2017-07,A,Nelson Region,2685,Regional council areas,Monthly
2017-08,A,Nelson Region,2490,Regional council areas,Monthly
2017-09,A,Nelson Region,2541,Regional council areas,Monthly
2017-10,A,Nelson Region,2712,Regional council areas,Monthly
2017-11,A,Nelson Region,1734,Regional council areas,Monthly
2017-12,A,Nelson Region,1350,Regional council areas,Monthly
2018-01,A,Nelson Region,1989,Regional council areas,Monthly
2018-02,A,Nelson Region,1149,Regional council areas,Monthly
2018-03,A,Nelson Region,1323,Regional council areas,Monthly
2018-04,A,Nelson Region,1737,Regional council areas,Monthly
2018-05,A,Nelson Region,2061,Regional council areas,Monthly
2018-06,A,Nelson Region,2121,Regional council areas,Monthly
2018-07,A,Nelson Region,2934,Regional council areas,Monthly
2018-08,A,Nelson Region,3054,Regional council areas,Monthly
2018-09,A,Nelson Region,2541,Regional council areas,Monthly
2018-10,A,Nelson Region,2841,Regional council areas,Monthly
2018-11,A,Nelson Region,1725,Regional council areas,Monthly
2018-12,A,Nelson Region,1290,Regional council areas,Monthly
2019-01,A,Nelson Region,1962,Regional council areas,Monthly
2019-02,A,Nelson Region,1290,Regional council areas,Monthly
2019-03,A,Nelson Region,1464,Regional council areas,Monthly
2019-04,A,Nelson Region,1944,Regional council areas,Monthly
2019-05,A,Nelson Region,1971,Regional council areas,Monthly
2019-06,A,Nelson Region,2316,Regional council areas,Monthly
2015-01,A,Northland Region,3921,Regional council areas,Monthly
2015-02,A,Northland Region,2511,Regional council areas,Monthly
2015-03,A,Northland Region,3351,Regional council areas,Monthly
2015-04,A,Northland Region,4173,Regional council areas,Monthly
2015-05,A,Northland Region,4491,Regional council areas,Monthly
2015-06,A,Northland Region,4851,Regional council areas,Monthly
2015-07,A,Northland Region,5913,Regional council areas,Monthly
2015-08,A,Northland Region,6009,Regional council areas,Monthly
2015-09,A,Northland Region,5808,Regional council areas,Monthly
2015-10,A,Northland Region,6690,Regional council areas,Monthly
2015-11,A,Northland Region,4539,Regional council areas,Monthly
2015-12,A,Northland Region,3282,Regional council areas,Monthly
2016-01,A,Northland Region,4143,Regional council areas,Monthly
2016-02,A,Northland Region,2856,Regional council areas,Monthly
2016-03,A,Northland Region,3435,Regional council areas,Monthly
2016-04,A,Northland Region,4461,Regional council areas,Monthly
2016-05,A,Northland Region,5208,Regional council areas,Monthly
2016-06,A,Northland Region,5187,Regional council areas,Monthly
2016-07,A,Northland Region,6489,Regional council areas,Monthly
2016-08,A,Northland Region,6591,Regional council areas,Monthly
2016-09,A,Northland Region,6087,Regional council areas,Monthly
2016-10,A,Northland Region,6999,Regional council areas,Monthly
2016-11,A,Northland Region,4905,Regional council areas,Monthly
2016-12,A,Northland Region,3429,Regional council areas,Monthly
2017-01,A,Northland Region,4803,Regional council areas,Monthly
2017-02,A,Northland Region,3159,Regional council areas,Monthly
2017-03,A,Northland Region,3771,Regional council areas,Monthly
